番号,これまでに挙げた改善点,対応方針,理由
1,アプリケーションのアイコンの設定に失敗した。調査が必要。,v1.0.0で対応する,何かの指定不足とか、そういったことが原因だと感じるのでチャチャッと解決すべき。
2,現状、カレントディレクトリの画像をふるいわけする想定だが、dllファイル等をexeにまとめなければその使い方ができない。,v0.9.0で対応する,exeファイル1つにまとめる。
3,エクスプローラーでサブフォルダを追加・削除した場合はフォルダリストが更新されないので、例えばF5キーで手動更新できるようにするとよいかも。,今後の課題とする,おそらく、そういうニーズはない。
4,フォルダを追加するとリストの選択が外れるが、動作的には大した問題ではないので許容する。,完了とする,フォルダを追加しているのだから選び直すことを想定して選択を外していると考えよう。
5,描画時の画像読み込みに時間がかかるので、読み込みの進捗ダイアログを出すと良さそう。,今後の課題とする,進捗ダイアログではなく、全画像表示時に画面を更新するのではなく、1枚ずつ追加表示していくようにしたほうが良い。
6,要求していなかったが、移動先フォルダを選択していない場合にチェックボックスを初期化しない処理を追加した。,完了とする,処理として適切。
7,ファイルの移動機能を実行するとウイルスバスターにランサムウェア扱いされる。,今後の課題とする,使いたいときに止められると迷惑なため。解決不可能なのではないか。
8,FileStreamとMemoryStreamの違いがよくわかっていない。このシーケンスもMemoryStreamを使うことで解決できたりしないだろうか。,今後の課題とする,勉強しよう。
9,MemoryStreamはClose概念がないっぽいが…ストリームを閉じなくても画像を移動できるのだろうか…。,今後の課題とする,勉強しよう。
10,v0.6.0では表示中の画像についてはストリームを開きっぱなしにしており、［フォルダへ移動］ボタンを押下すると全ストリームを閉じて再描画している。このやり方が適切なのか確認が必要と思われる。特にメモリ使用量について（→動かしてみた感じ、メモリ使用量は大丈夫そうだった。）,完了とする,この方法でも実現できるので問題はない。ただ、MemoryStreamを利用することでクローズは考慮不要にできるかもしれない。
11,画像を100件表示していると、再描画にも若干時間がかかるので進捗状況の表示を行ったほうが良いと感じた。,今後の課題とする,No.4と同じく内容。1枚ずつ画像を表示していく方式のほうが良い。
12,そろそろ複雑になってきたので、単体試験を作りたいものだ。,v1.0.0で対応する,一応MSTestで作ろうと思っていたが、xUnitのほうが流行っているらしい。xUnitを使ってみよう。<https://qiita.com/kojimadev/items/c451196fb703cbf99e86>
13,他のアプリを起動する際にcmd.exeの黒ウィンドウが一瞬表示されてしまうので、これをやめたい。ImageScreener.exeの別ウィンドウとして出すのはどうだろう？,今後の課題とする,直ちに問題にはならないだろう。
