要求番号,分類,内容
1,要求,フォルダリストの項目をダブルクリックすると、その項目をカレントディレクトリとすること。
,理由,サブフォルダ内でさらに分類を行えるようにするため。
,説明,exeファイルをサブフォルダへ移動させるのは意外と面倒くさく、しかもウイルスバスターにいちいちランサムウェア扱いされるので、exeファイル置き場は1か所にしたい。
2,要求,フォルダリストの先頭に文言「..」を表示すること。
,理由,親フォルダを示す表示を行うため。
,説明,-
3,要求,フォルダリストの「..」をダブルクリックすると、カレントディレクトリを親フォルダへ移動すること。
,理由,サブフォルダから元のフォルダへ戻れるようにするため。
,説明,結果的にドライブレター（C:\\など）まで辿れるようになる。
4,要求,移動先フォルダに同名ファイルが存在する場合のファイル名を、「元のファイル名=.拡張子」から「元のファイル名#.拡張子」に変更すること。
,理由,アプリに表示する画像をクリックすると元のファイルをcmd.exe経由で表示しているが、バッチファイルでは文字'='が引数の区切りを意味するため、元のファイルを表示できなくなっていたため。
,説明,'_'を付与しようと思ったが、やってみたところフルパスやファイル名を取得する際に'_'が無視されるようなので'#'を利用することにした。
5,要求,表示中の画像をクリックする際にcmd.exeのウィンドウを表示しないようにすること。
,理由,表示することで使い勝手が変わるわけではないが、気が逸れて邪魔になるため。
,説明,-
